BALANCE,PURCHASES,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,CASH_ADVANCE_TRX,PURCHASES_TRX,CREDIT_LIMIT,PAYMENTS,MINIMUM_PAYMENTS,TENURE,FULL_PAYMENT
113,919,604,315,0,0,17,7500,1130,177,12,1
7390,612,0,612,2735,2,25,12000,1920,1796,12,0
1274,5220,2568,2652,0,0,66,7500,3984,3454,12,0
644,639,0,639,0,0,12,12000,2529,228,12,0
91,737,33,704,0,0,8,6000,960,176,12,1
916,55,0,55,0,0,7,1000,1222,10800,12,0
1217,879,758,121,156,2,20,1200,654,1296,12,0
5941,279,0,279,906,2,16,6000,3140,2949,12,0
3818,4974,3826,1148,0,0,33,5000,6753,1468,12,0
0,369,0,369,0,0,12,1500,431,,12,0
1277,2197,1038,1159,0,0,44,1000,1410,3446,12,0
8100,2352,1161,1191,390,4,50,12500,1864,1831,12,0
87,0,0,0,465,1,0,1500,544,65,10,0
79,828,301,527,0,0,9,2600,904,520,12,0
53,509,509,0,0,0,12,3000,479,165,12,0
109,320,320,0,0,0,13,3500,598,169,12,0
2587,400,400,0,0,0,1,3000,887,939,12,0
6668,5596,2881,2715,2790,14,110,16000,17069,6688,12,0
2539,820,820,0,879,2,19,3000,757,687,12,0
2154,104,104,0,91,1,1,6000,732,512,11,0
2721,66,0,66,458,7,3,3000,968,1317,12,0
694,359,152,207,0,0,39,5000,339,171,12,0
3415,0,0,0,8265,9,0,9000,719,1160,11,0
3478,2466,1676,790,90,1,41,12000,955,963,12,0
6378,0,0,0,4170,15,0,10500,1377,1540,12,0
33,286,231,55,91,1,6,8500,436,189,12,0
367,653,0,653,0,0,30,3000,276,194,12,0
245,2482,0,2482,0,0,41,4000,2261,177,12,1
786,227,0,227,667,4,25,1200,1391,187,12,0
7,502,424,78,0,0,5,2500,844,25,12,0
4379,997,861,136,3632,4,27,14500,2035,1064,12,0
168,321,0,321,0,0,20,1200,863,187,12,0
1200,0,0,0,2832,2,0,3000,708,638,10,0
5774,2103,722,1381,3536,7,37,15000,4712,1309,12,0
41,550,0,550,0,0,4,6000,1105,169,12,1
1383,0,0,0,55,2,0,1500,277,505,12,0
2573,3975,3975,0,0,0,5,4000,2387,667,12,0
178,2228,1601,627,0,0,29,12000,1842,110,12,0
539,0,0,0,2157,2,0,1200,3304,303,12,0
93,346,46,300,0,0,10,1000,384,193,12,0
1247,0,0,0,504,3,0,1500,722,273,12,0
911,954,425,529,0,0,12,1200,284,282,12,0
98,389,0,389,0,0,11,8500,371,178,12,0
990,0,0,0,1111,7,0,1200,240,283,11,0
69,636,0,636,0,0,16,10000,838,193,12,0
12,581,0,581,0,0,11,4000,1334,33,12,0
1266,1586,1257,328,0,0,22,3000,339,399,12,0
3683,1194,988,207,1075,10,52,4050,2121,1837,12,0
211,91,91,0,0,0,1,6500,1241,231,12,0
3171,109,0,109,4587,10,1,6000,598,1307,12,0
311,744,689,55,0,0,19,7500,652,171,12,0
3311,717,649,68,0,0,7,12500,1373,776,12,0
409,0,0,0,1872,1,0,10000,3902,124,12,0
131,1161,1161,0,0,0,8,13000,1113,93,12,0
365,421,341,80,0,0,6,4000,1386,111,12,0
27,329,24,306,0,0,7,10500,1035,223,12,1
1117,0,0,0,1377,11,0,1500,172,149,7,0
26,615,0,615,0,0,44,14000,1560,81,12,0
1107,1260,1260,0,0,0,3,6500,1557,238,10,0
2205,3278,1640,1638,0,0,147,6000,2726,966,12,0
1723,45,45,0,1654,5,2,4000,512,440,12,0
1673,0,0,0,75,1,0,2100,342,755,12,0
1334,233,0,233,1433,3,7,1500,311,298,7,0
1330,1305,1305,0,18,1,7,7500,625,402,12,0
117,1035,65,970,0,0,10,3000,1336,154,12,1
559,94,94,0,0,0,3,5500,255,218,12,0
10,82,0,82,0,0,6,2000,140,154,12,0
5206,0,0,0,3257,6,0,9500,996,1093,8,0
2624,3006,2439,567,0,0,40,5500,1245,679,12,0
2297,4474,3544,930,1509,3,44,5500,9481,847,12,0
7248,0,0,0,3991,24,0,8500,2646,2530,12,0
1918,0,0,0,6023,1,0,6500,7190,626,12,0
206,1886,1230,656,0,0,65,3000,2090,171,12,0
5284,202,116,86,1564,17,5,9500,1385,1267,12,0
102,999,586,413,0,0,16,7500,2181,148,12,1
3361,794,0,794,8095,10,10,9500,4898,1461,12,0
1047,517,283,234,0,0,13,1200,477,345,12,0
869,438,264,175,0,0,6,3000,337,382,12,0
5293,5540,2604,2936,0,0,273,6000,3598,3838,12,0
1856,671,517,154,5603,107,9,7000,9222,537,11,0
127,760,89,671,0,0,17,2500,371,176,12,0
2283,1523,1059,463,1906,3,38,9500,4419,614,12,0
859,0,0,0,910,2,0,3500,1409,245,12,0
5403,1086,1025,61,1252,18,19,6000,1573,1922,12,0
1942,1367,96,1271,0,0,20,6300,495,501,12,0
5418,0,0,0,5052,29,0,8000,1476,1556,12,0
11955,0,0,0,2108,22,0,13000,3933,5602,12,0
1225,529,186,343,1109,6,17,1200,467,857,12,0
818,478,189,289,946,1,7,2400,635,260,11,0
4382,295,0,295,4945,25,11,4000,6446,6060,12,0
9265,0,0,0,4159,5,0,9500,2536,2246,12,0
6512,98,98,0,3320,52,1,7000,1304,1642,8,0
32,418,0,418,0,0,13,2000,473,175,12,1
31,143,0,143,737,5,8,1500,1378,123,12,1
1470,0,0,0,170,5,0,1500,395,513,12,0
333,420,74,346,0,0,26,3000,473,193,12,0
2422,612,76,536,2197,10,14,2500,2483,1036,12,0
2201,296,0,296,0,0,12,6000,631,487,12,0
1719,0,0,0,260,2,0,1950,459,601,12,0
2247,0,0,0,6634,12,0,7000,316,1207,10,0
1664,0,0,0,2124,9,0,2500,1566,391,12,0
1403,0,0,0,36,2,0,1500,152,3245,11,0
9459,878,160,718,5247,8,16,15000,1987,2931,12,0
4626,0,0,0,9580,9,0,5000,614,634,6,0
114,0,0,0,498,1,0,6500,852,179,12,0
169,177,109,68,0,0,4,5000,197,173,12,0
662,280,280,0,2276,2,1,3000,1914,129,8,0
1303,46,46,0,0,0,1,1500,352,5105,12,0
517,280,280,0,1295,2,2,11000,6685,78,8,0
5599,7195,6678,516,14201,37,69,15500,12487,2075,12,0
6538,1886,75,1811,2100,6,29,8500,1625,1608,12,0
1308,919,919,0,0,0,22,1800,258,377,12,0
1009,702,266,437,0,0,28,7500,1185,246,12,0
8,125,0,125,0,0,10,3000,125,83,12,0
151,1456,413,1043,0,0,39,1800,1381,157,12,0
2063,518,72,446,1257,12,35,4000,1049,1101,12,0
3667,0,0,0,2462,19,0,4000,675,1362,12,0
1765,0,0,0,1553,6,0,3667,5127,655,12,0
2920,218,119,99,0,0,25,7500,833,765,12,0
1925,5190,3609,1580,0,0,102,7500,5851,493,12,0
5291,2090,1965,125,1154,3,21,15000,1718,1496,12,0
107,15,15,0,183,6,1,200,255,199,12,0
124,662,109,554,0,0,23,1000,367,134,9,0
6728,712,617,94,6499,12,23,8500,1304,1835,12,0
3007,102,0,102,0,0,28,3000,562,1692,12,0
5716,2174,1556,618,0,0,33,8500,1829,1314,12,0
274,286,58,228,0,0,7,1700,911,179,12,0
3477,9683,7253,2430,0,0,15,12500,6085,723,12,0
1076,32,32,0,1859,23,1,9000,2267,385,12,0
761,360,0,360,3181,4,9,5000,2312,288,9,0
51,486,486,0,0,0,13,7000,544,165,12,0
1094,0,0,0,18,1,0,1200,277,283,12,0
1631,0,0,0,382,2,0,2100,1118,460,12,0
78,243,0,243,0,0,12,1500,153,158,12,0
3196,2083,0,2083,0,0,22,6000,641,1269,12,0
448,18,18,0,2430,3,1,2500,9858,738,12,1
34,266,0,266,0,0,5,7500,339,86,11,1
1497,0,0,0,4445,8,0,2500,2986,488,8,0
2157,1695,0,1695,91,1,10,2000,2195,2095,12,0
2024,1104,254,850,0,0,34,6500,668,537,12,0
1455,0,0,0,3853,10,0,4000,555,694,12,0
108,923,876,46,0,0,16,9500,913,168,12,0
4334,333,333,0,72,1,7,12500,1113,1635,12,0
50,364,125,239,0,0,11,9100,383,176,12,0
0,96,0,96,0,0,10,1500,103,0,12,0
361,2438,1788,650,0,0,30,7500,2205,187,12,0
2675,55,55,0,315,3,1,3000,580,1324,12,0
2004,1500,1500,0,0,0,1,3000,675,673,12,0
217,921,470,451,0,0,9,4500,892,69,12,0
7119,1370,938,433,8527,10,18,12000,19143,2619,12,0
2720,0,0,0,708,5,0,10000,1463,749,12,0
113,987,0,987,0,0,17,2500,1082,180,12,1
611,3724,3302,423,72,1,39,4000,6487,173,12,0
2097,0,0,0,1546,2,0,3500,510,558,12,0
8435,0,0,0,8420,15,0,9000,10721,3285,12,0
1046,421,46,375,0,0,13,1000,616,8290,12,0
1591,675,675,0,0,0,11,1600,831,1018,12,0
1513,15704,12619,3085,0,0,185,3000,14400,311,12,1
1683,98,98,0,240,4,1,1800,554,556,12,0
2098,963,963,0,0,0,11,2100,623,1252,6,0
1060,162,162,0,766,5,3,3700,2333,476,12,0
3,38,38,0,0,0,1,7500,88,57,12,0
164,1014,264,750,268,1,20,1500,938,127,9,1
2927,1824,1686,138,237,2,23,7100,793,1004,12,0
1502,0,0,0,152,4,0,1600,404,741,12,0
75,294,49,245,0,0,11,1500,215,138,12,0
398,0,0,0,3624,2,0,18000,7706,167,12,0
9356,0,0,0,2287,4,0,10000,2336,2532,12,0
1644,0,0,0,156,1,0,1950,542,569,12,0
8085,0,0,0,4714,14,0,11000,1911,3385,12,0
1418,1004,409,595,0,0,15,11000,2218,455,12,0
829,1115,1115,0,0,0,1,1800,268,289,12,0
4232,32,32,0,0,0,1,14000,1263,1164,12,0
1185,704,0,704,61,1,21,1200,811,747,12,0
3169,0,0,0,3854,6,0,4200,390,935,7,0
498,1235,653,582,0,0,14,3000,206,382,12,0
869,463,374,89,547,4,11,1000,255,375,12,0
997,582,520,62,0,0,3,8500,2089,239,12,0
499,1159,119,1040,0,0,28,4750,5979,583,12,0
2551,486,304,182,0,0,7,4500,478,825,12,0
1899,0,0,0,3618,4,0,8000,7823,452,12,0
5919,9321,4679,4642,0,0,171,15000,7304,1396,12,0
1780,1908,803,1105,728,5,36,10000,2766,392,12,0
134,247,247,0,0,0,5,11000,7103,151,12,0
2567,1876,546,1329,598,5,52,3900,772,633,12,0
2522,0,0,0,2504,3,0,7000,519,607,12,0
7333,321,0,321,9733,38,10,10000,2036,2530,12,0
764,245,0,245,0,0,10,1500,1661,345,12,0
1193,689,689,0,0,0,12,3500,328,328,12,0
1204,1659,46,1613,805,4,49,1000,3052,3498,12,0
596,6562,4892,1670,0,0,114,8000,6241,219,12,1
3007,9363,5099,4264,0,0,103,7500,7079,645,12,0
3,60,60,0,0,0,1,11000,1042,,12,0
54,114,114,0,0,0,1,7500,0,,12,0
2584,1497,1497,0,1113,5,14,4000,475,849,12,0
311,3721,3721,0,0,0,26,4000,4005,157,12,1
556,403,303,100,0,0,14,7500,1318,130,12,0
877,1030,0,1030,0,0,18,2000,2222,228,12,0
1666,720,0,720,1143,2,15,2300,2474,462,12,0
101,808,325,483,0,0,11,16000,699,167,12,1
5409,1207,979,228,3064,20,18,7000,3130,2767,12,0
1050,0,0,0,469,6,0,1500,594,243,12,0
3812,0,0,0,848,1,0,4500,1432,1497,12,0
1673,300,117,182,114,2,21,1800,560,524,12,0
7106,0,0,0,1648,8,0,7500,1400,4487,12,0
2316,86,86,0,4107,13,1,4500,448,1310,8,0
2378,2527,797,1730,2056,6,92,5000,1461,1106,12,0
1179,150,0,150,0,0,5,1200,360,410,12,0
1007,470,0,470,0,0,12,1000,716,872,12,0
1036,69,69,0,1147,16,1,1200,1484,469,12,0
1710,2,2,0,5246,6,1,2500,4678,465,12,0
2744,529,529,0,3083,7,5,6000,914,932,12,0
4785,5849,2604,3245,3504,6,119,5000,9006,4513,12,0
193,1938,1938,0,0,0,30,2000,2101,169,12,1
4613,158,0,158,5392,9,3,6000,756,1379,10,0
1294,0,0,0,93,1,0,1500,309,468,12,0
3462,0,0,0,200,5,0,4500,5709,1536,12,0
7843,5931,3863,2068,0,0,168,11500,12494,1780,12,0
8,92,0,92,0,0,6,300,127,94,12,1
3475,324,293,31,0,0,6,9500,951,867,12,0
2928,5748,4022,1726,0,0,81,8000,4901,789,12,0
3433,4342,4248,94,0,0,20,11000,3904,807,12,0
914,0,0,0,2769,2,0,3000,385,912,12,0
1263,330,257,73,0,0,6,1800,906,271,12,0
4196,90,90,0,1805,3,3,8000,943,1064,12,0
1051,3805,2716,1090,0,0,24,1500,3818,942,12,0
45,554,500,54,293,1,3,1200,0,,7,0
138,0,0,0,1936,4,0,3000,2489,69,12,0
2550,0,0,0,4947,8,0,10000,266,708,7,0
2829,20,20,0,0,0,2,5500,593,1159,12,0
1452,206,206,0,0,0,3,1600,502,491,12,0
2796,45,0,45,4766,4,2,9000,7821,422,7,0
1415,98,68,30,0,0,3,1500,523,536,12,0
138,1567,60,1507,0,0,232,7000,1542,190,12,1
483,4240,4240,0,0,0,4,6000,6360,127,12,1
292,699,75,624,79,1,38,5000,685,178,12,0
4956,0,0,0,3482,26,0,6500,1253,1572,12,0
876,4537,4285,252,0,0,56,2500,2689,350,12,0
3251,247,0,247,823,6,7,4000,1016,1015,12,0
8,56,0,56,0,0,2,1200,319,126,12,0
789,4575,4149,425,2605,4,46,9500,5098,367,12,0
1365,0,0,0,5568,12,1,3000,4022,520,11,0
25,355,0,355,0,0,12,2500,358,171,12,1
2986,5132,4665,467,0,0,66,10000,11454,911,12,0
1390,713,713,0,0,0,1,4500,801,364,12,0
8637,972,43,929,2591,8,26,10500,2025,2959,12,0
7699,673,574,99,6077,8,14,12000,1907,2144,12,0
1998,2238,1170,1068,0,0,22,6500,1985,465,12,0
2049,3111,1671,1440,0,0,50,6000,1649,685,12,0
464,0,0,0,1167,5,0,7500,933,167,12,0
1110,3150,2430,720,0,0,14,2500,2695,431,12,0
1073,57,0,57,0,0,3,1200,295,321,12,0
3386,561,427,134,2008,9,20,10100,1039,886,11,0
1681,1139,0,1139,4044,6,5,4500,3763,1818,12,0
10599,4029,2926,1103,0,0,102,12500,2343,2352,12,0
841,0,0,0,1820,5,0,6500,806,263,12,0
7507,465,465,0,1610,3,4,12000,1772,2302,12,0
232,0,0,0,1434,1,0,1500,2457,85,7,1
4812,4911,4006,906,10630,14,63,6000,10079,2045,12,0
981,180,0,180,0,0,12,1000,331,540,12,0
120,1348,230,1118,0,0,50,12000,1196,184,12,1
2599,4767,2025,2743,3622,9,95,6000,3775,955,12,0
164,0,0,0,470,3,0,9500,684,153,10,0
635,0,0,0,1177,4,0,1200,80,200,6,0
1135,143,143,0,0,0,1,1200,290,287,10,0
26,267,0,267,0,0,5,2000,478,185,12,1
1756,0,0,0,955,3,0,6000,1083,673,12,0
3215,0,0,0,15082,16,0,11500,20500,799,12,0
42,718,123,595,0,0,10,13000,629,93,12,0
1346,652,568,84,0,0,10,6000,385,275,12,0
329,73,73,0,0,0,1,3000,468,216,12,0
2538,0,0,0,354,3,0,3000,623,623,12,0
3287,0,0,0,3191,3,0,8500,1340,880,12,0
84,852,266,586,0,0,20,18500,644,181,12,1
1721,0,0,0,369,9,0,1800,714,660,12,0
232,2310,1661,650,0,0,67,3000,1872,174,12,1
430,889,279,610,0,0,27,3500,1134,185,12,1
1956,0,0,0,211,4,0,2100,635,809,12,0
916,1828,1409,419,0,0,34,1200,1731,254,12,0
700,796,796,0,0,0,1,6000,808,1560,12,0
4478,2462,2462,0,203,2,13,5000,1042,1144,12,0
741,2055,302,1753,0,0,74,7500,1631,217,12,0
121,1122,803,319,0,0,29,6000,1138,163,12,1
1477,0,0,0,961,1,0,1800,338,418,9,0
1302,0,0,0,1379,2,0,4500,1009,280,12,0
1222,0,0,0,2398,10,0,3000,385,473,12,0
4059,0,0,0,4328,4,0,6500,1127,1005,12,0
1190,0,0,0,1455,3,0,1500,1657,364,12,0
1220,568,0,568,0,0,10,3000,902,412,12,0
1168,95,95,0,188,5,2,1200,351,285,12,0
2508,875,510,365,0,0,29,2600,1261,1209,12,0
208,2253,238,2015,0,0,30,10000,2018,179,12,1
34,478,194,284,0,0,17,3000,592,157,12,1
479,1061,1041,20,0,0,4,1300,1163,209,12,0
133,740,0,740,0,0,6,9500,1167,173,12,1
313,3866,808,3058,0,0,95,7500,3689,191,12,1
2236,83,38,45,481,5,4,2500,568,607,12,0
7022,0,0,0,3217,12,0,7500,2955,2794,12,0
309,3158,1178,1980,0,0,31,7000,3291,170,12,1
273,60,60,0,0,0,1,2300,112,209,12,0
31,84,0,84,0,0,12,1000,92,166,12,0
375,279,0,279,0,0,4,1400,426,212,12,0
147,1665,64,1601,0,0,55,4000,1458,189,12,1
423,345,345,0,0,0,4,8500,1500,185,12,0
1571,1849,1617,233,0,0,19,7000,1523,415,12,0
2697,0,0,0,139,1,0,3000,685,919,12,0
3932,1674,649,1025,0,0,43,11500,1166,954,12,0
349,2570,2570,0,186,1,8,5000,3363,164,11,1
12,153,153,0,0,0,2,9000,0,,10,0
6461,6814,6814,0,0,0,15,13000,1918,1643,12,0
139,843,0,843,0,0,7,2200,1312,180,12,0
1777,78,0,78,332,2,7,8500,3799,500,12,0
806,4019,4019,0,0,0,19,4500,3729,276,12,0
714,543,453,90,268,4,13,2500,195,229,12,0
1784,0,0,0,3923,4,0,3000,2804,854,12,0
1442,0,0,0,915,1,0,6500,568,309,12,0
226,435,435,0,0,0,15,7500,3796,180,12,0
13,197,0,197,0,0,6,1000,225,89,12,0
4224,2515,1598,917,3445,11,53,5500,965,1677,6,0
5068,715,403,312,727,2,14,5000,1649,2968,12,0
63,802,802,0,0,0,21,13000,710,171,12,1
3188,0,0,0,1674,1,0,4500,715,1220,12,0
2737,0,0,0,257,6,0,3000,945,1250,12,0
1503,2636,2117,519,0,0,54,4500,951,293,12,0
951,1700,1262,438,0,0,31,1800,2096,306,12,0
10905,432,134,298,47137,123,21,19600,39049,5394,12,0
68,780,780,0,0,0,2,3200,196,14,12,0
1297,839,420,419,0,0,16,6000,362,295,12,0
121,1850,0,1850,0,0,18,14000,1827,177,12,1
1004,50,50,0,458,5,1,3500,3389,260,12,0
1094,1968,559,1409,0,0,140,11500,1413,387,12,0
1467,1313,0,1313,0,0,28,11500,1129,430,12,0
1649,0,0,0,254,8,0,1800,574,789,12,0
2660,0,0,0,382,2,0,5000,846,687,12,0
44,504,0,504,0,0,20,2500,819,82,12,0
380,494,494,0,0,0,3,4000,3308,3396,12,0
7,133,0,133,0,0,2,16000,0,,12,0
1051,0,0,0,3700,25,0,1600,3263,461,11,0
448,1907,0,1907,0,0,10,9500,2112,171,12,0
1090,0,0,0,76,1,0,1200,372,422,12,0
1432,0,0,0,3771,15,0,5000,139,531,8,0
97,552,95,457,0,0,13,12000,601,189,12,0
5,284,0,284,0,0,11,4000,275,4,12,0
239,2403,537,1865,0,0,48,8500,2022,183,12,1
0,174,0,174,0,0,12,4000,0,,12,0
4550,548,548,0,661,5,7,5000,1159,1330,12,0
2005,0,0,0,511,3,0,2100,746,478,12,0
2495,250,250,0,2804,7,1,3000,865,867,12,0
4624,884,741,143,0,0,15,6000,2791,1419,12,0
1946,1651,0,1651,1025,2,21,2500,1916,1699,12,0
2599,0,0,0,186,1,0,3000,774,672,12,0
3087,1016,293,723,0,0,23,10500,938,807,12,0
46,238,238,0,0,0,2,4500,544,195,12,0
391,1262,1142,120,0,0,16,3000,18,1152,12,0
250,2406,2182,224,0,0,36,10000,2105,188,12,1
5570,0,0,0,2745,3,0,6000,1749,1292,12,0
2113,0,0,0,3130,5,0,3500,1927,523,12,0
1205,0,0,0,1259,7,0,2500,282,396,10,0
2586,0,0,0,256,1,0,3000,659,583,12,0
1543,160,160,0,2957,4,1,3000,693,390,12,0
3677,1,1,0,859,2,1,7000,945,948,12,0
203,543,0,543,0,0,8,4000,955,164,12,0
5927,0,0,0,9596,6,0,13000,1600,2715,11,0
1479,959,0,959,0,0,30,1500,1188,3168,12,0
533,59,59,0,2734,11,1,10000,1503,213,12,0
36,274,274,0,0,0,1,5500,175,260,12,1
3085,0,0,0,2507,10,0,4000,1004,654,12,0
53,283,34,249,0,0,5,6000,389,150,12,0
1167,74,0,74,595,6,4,2000,515,324,12,0
1782,2290,1584,706,0,0,37,10500,2066,447,12,0
2883,3592,2453,1139,554,2,74,10450,8439,769,11,0
4068,3387,1938,1449,0,0,86,8500,1312,1245,12,0
5432,793,793,0,6245,15,13,10000,1262,1291,12,0
24,254,0,254,0,0,10,4000,206,128,12,0
203,2339,2339,0,1960,2,42,7500,6545,223,12,1
29,325,0,325,0,0,12,3000,320,174,12,1
7764,90,90,0,4032,13,1,11150,1567,2092,12,0
1220,0,0,0,442,2,0,1500,540,288,12,0
9226,2218,990,1227,3533,5,16,10500,3075,4231,12,0
690,23,0,23,0,0,1,11500,906,225,12,0
4158,8,8,0,0,0,12,7500,1001,1917,12,0
5996,0,0,0,3454,12,0,6500,1868,1486,12,0
131,1110,1110,0,0,0,21,9500,2137,89,10,1
289,2556,695,1861,0,0,20,5000,12020,160,11,1
332,2289,1227,1062,0,0,37,9500,2184,188,12,0
1504,565,565,0,0,0,3,2200,2511,471,12,0
1929,2062,370,1692,0,0,30,8500,2201,450,12,0
391,0,0,0,0,0,0,4000,193,228,12,0
685,185,0,185,0,0,12,2900,2837,350,12,0
5,56,0,56,0,0,1,6000,0,,10,0
1685,0,0,0,244,1,0,1800,560,336,12,0
314,2747,2170,577,0,0,59,2500,2563,193,12,0
620,1219,464,755,4473,8,8,2000,4115,383,12,0
1381,0,0,0,127,3,0,1500,280,515,12,0
40,319,319,0,0,0,2,6000,604,57,10,0
148,0,0,0,69,1,0,600,50,250,12,0
69,873,137,736,0,0,24,10000,721,168,12,1
1,389,0,389,0,0,5,12000,378,24,12,0
4677,1799,1364,434,1570,6,36,9000,1157,1615,12,0
33,280,0,280,0,0,8,3000,348,146,12,0
1748,0,0,0,157,1,0,2000,538,484,12,0
932,2418,2304,114,3509,9,21,8000,3468,261,12,0
1476,827,664,163,0,0,18,1500,1183,1332,12,0
992,0,0,0,45,1,0,1000,161,184,9,0
106,916,528,389,0,0,12,10500,2244,164,12,0
1157,251,101,150,507,3,12,7500,2853,368,11,0
3798,0,0,0,17279,56,0,12000,15885,1079,12,0
107,1196,946,251,0,0,37,5500,1598,175,12,1
4181,1443,1443,0,0,0,1,6000,1027,1421,12,0
163,400,400,0,0,0,1,4000,137,71,12,0
2382,900,413,486,450,4,34,2500,850,1212,12,0
56,1225,0,1225,0,0,26,7500,1130,167,12,1
902,0,0,0,3936,5,0,1800,3634,577,11,0
1599,113,113,0,71,1,3,1800,596,380,12,0
970,0,0,0,2035,14,0,2000,1374,363,12,0
5816,1245,1245,0,2697,10,18,7000,1288,1531,12,0
1738,140,140,0,0,0,12,6500,433,591,12,0
21,3618,2805,813,0,0,40,15000,3571,54,12,1
463,271,107,164,0,0,7,10000,1294,182,12,0
1281,792,704,89,0,0,18,1500,397,706,12,0
633,454,319,135,928,8,8,6000,350,228,12,0
2464,654,300,354,0,0,17,2400,1150,3175,12,0
1237,540,540,0,0,0,9,4000,2136,248,11,0
1563,1910,1852,58,0,0,35,13000,5143,425,12,0
6877,688,543,145,3407,12,11,7500,2359,1898,12,0
598,5836,3975,1861,0,0,53,9000,6083,205,12,1
955,1060,1060,0,0,0,1,2100,189,214,9,0
847,11507,5905,5603,0,0,148,10500,10414,258,12,1
44,290,0,290,0,0,9,6000,327,158,12,0
7820,80,80,0,1148,3,1,15000,1963,2142,12,0
937,46,46,0,20,1,1,1000,336,442,12,0
776,6842,4938,1904,0,0,112,3500,5589,281,12,1
816,211,83,128,3215,23,6,3500,1665,168,10,0
4940,471,139,331,8753,39,14,10000,11722,1183,12,0
1054,1450,1450,0,0,0,1,1500,397,227,8,0
1877,170,118,52,0,0,2,6000,249,264,6,0
9,106,106,0,0,0,6,3500,199,89,12,1
2140,331,71,259,2650,18,7,6000,703,721,12,0
138,897,684,213,0,0,27,7000,965,192,12,0
1302,0,0,0,73,1,0,1500,317,531,12,0
287,317,0,317,0,0,15,4500,1309,249,12,0
27,427,427,0,0,0,5,6000,195,88,12,0
6888,4340,3608,732,7029,29,59,11500,16616,1689,12,0
740,1672,1571,101,311,3,15,5500,1437,288,12,0
2720,448,448,0,3475,4,7,3000,3538,1105,12,0
10,219,219,0,0,0,12,6000,217,77,12,0
1689,725,0,725,0,0,7,1500,1462,3398,12,0
62,30,30,0,839,2,1,6000,1576,109,12,0
1417,144,144,0,0,0,6,1500,349,417,12,0
1613,252,252,0,0,0,3,1800,834,592,12,0
392,788,788,0,0,0,2,9000,1042,192,12,0
936,1141,999,142,0,0,12,1200,1226,2595,12,0
528,2703,1943,760,0,0,32,3000,1942,189,12,0
1283,1286,0,1286,0,0,35,2100,1471,2972,12,0
5356,2469,906,1563,5840,27,33,8000,1227,2016,12,0
15,162,162,0,0,0,1,3000,913,114,12,0
153,96,0,96,0,0,10,9000,326,203,12,0
248,2329,1567,762,0,0,31,5500,812,232,12,0
1467,0,0,0,38,2,0,1500,324,430,12,0
1777,1083,0,1083,0,0,24,4000,383,660,12,0
475,1155,1155,0,0,0,1,2000,1265,116,12,0
1118,46,46,0,0,0,1,1200,288,371,11,0
6891,4399,3705,694,1838,4,80,11150,1835,1865,12,0
15,67,67,0,0,0,1,4000,82,58,12,0
1476,182,182,0,2253,17,13,1800,2588,961,12,0
987,0,0,0,1350,1,0,1500,276,362,11,0
955,0,0,0,1145,4,0,1200,1403,373,12,0
448,1593,214,1379,0,0,36,7000,1661,188,12,0
3304,0,0,0,1270,9,0,7000,1026,1478,12,0
1136,399,0,399,0,0,12,1500,364,449,12,0
933,0,0,0,1375,1,0,1500,361,336,11,0
1055,0,0,0,3777,2,0,6000,2924,195,12,0
5897,0,0,0,3318,8,0,7500,1418,1810,12,0
0,176,176,0,0,0,1,7000,0,,8,0
21,312,0,312,0,0,7,2000,497,146,12,1
4920,1562,249,1313,0,0,42,13000,1852,1178,12,0
4072,1722,551,1170,0,0,27,10000,1066,1173,12,0
1139,8665,6120,2545,0,0,104,9500,8217,241,12,0
1159,1037,150,887,1790,11,22,1700,2790,1281,12,0
2094,0,0,0,1308,2,0,3000,471,912,12,0
299,1439,593,846,0,0,31,6000,1324,201,12,0
22,190,190,0,49,1,2,8500,156,66,12,0
657,1152,616,536,443,2,13,1000,632,351,7,0
74,725,200,525,0,0,13,4000,529,189,12,1
2665,716,109,607,495,1,11,3500,918,793,12,0
900,0,0,0,77,1,0,1000,198,215,12,0
1146,0,0,0,59,3,0,1200,290,353,12,0
10,158,0,158,0,0,4,6000,182,55,12,0
3038,173,173,0,383,6,3,3000,869,4683,12,0
25,0,0,0,520,5,0,6000,2162,56,12,1
1101,117,117,0,5574,7,3,1500,4018,273,12,0
64,1049,0,1049,0,0,14,5000,1072,154,12,1
1,24,24,0,0,0,4,15500,32,22,12,0
1095,1132,377,755,0,0,43,2500,411,405,12,0
235,82,82,0,0,0,2,4200,351,216,12,0
7156,0,0,0,2506,6,0,18000,3448,1608,12,0
1436,665,46,619,946,3,15,7500,454,359,12,0
325,2252,1964,288,141,1,20,9500,2258,169,12,1
4395,2514,985,1529,0,0,32,5000,2095,1961,12,0
25,179,0,179,0,0,6,4000,309,73,7,0
401,3108,0,3108,0,0,16,10500,3167,176,12,1
3044,93,93,0,790,2,1,3500,671,950,12,0
436,2877,1561,1316,205,2,51,3500,2975,113,12,0
5258,2332,1088,1244,10291,10,34,17500,2543,1237,12,0
3860,11,11,0,0,0,2,10000,7281,1014,12,0
1515,3874,2642,1231,2307,6,50,8500,3730,436,12,0
6509,539,539,0,7232,20,4,12000,1356,1471,12,0
3339,775,365,410,0,0,8,8500,921,785,12,0
3282,398,0,398,6694,20,9,8000,8093,872,12,0
